frame,sun_x,sun_y,sun_z,required_zenith_deg,panel_zenith_deg,max_zenith_deg,status
0,-0.08481922953995957,-0.8573494570414812,0.5076983423361996,59.489361264919005,59.489361264919005,53.13010235415598,OUT OF RANGE
1,-0.3121356156945076,0.44890005395997074,0.8372933171653446,33.144605316247116,33.144605316247116,53.13010235415598,TRACKING
2,0.9592480793938097,-0.2820807403255048,0.016540196997094754,89.05227330352065,89.05227330352065,53.13010235415598,OUT OF RANGE
3,-0.5275737220473926,0.47420868352807083,0.7048347978580759,45.183800834873516,45.183800834873516,53.13010235415598,TRACKING
4,-0.4426720513911144,0.7571423172404507,0.4803925128069164,61.28895921988665,61.28895921988665,53.13010235415598,OUT OF RANGE
5,0.6396633366529639,-0.7679228210010013,0.03354633702598617,88.07757578641615,88.07757578641615,53.13010235415598,OUT OF RANGE
6,0.8471688069221217,0.4413795118125899,0.29578563036467587,72.79534682140778,72.79534682140778,53.13010235415598,OUT OF RANGE
7,0.7406125600229602,-0.08618363338240927,0.6663823356551728,48.2115380030155,48.2115380030155,53.13010235415598,TRACKING
8,0.9644006792973797,-0.11852119183662098,0.23639808979003962,76.3259502848197,76.3259502848197,53.13010235415598,OUT OF RANGE
9,-0.5064831051553054,0.7776952565225177,0.3723774324185277,68.13768538661272,68.13768538661272,53.13010235415598,OUT OF RANGE
10,0.5476347858727314,0.5791176408809521,0.603919613295187,52.848861918598935,52.848861918598935,53.13010235415598,TRACKING
11,-0.6230315425084961,0.6528465973354874,0.4308398976266706,64.47912603173272,64.47912603173272,53.13010235415598,OUT OF RANGE
12,0.6678383810226531,-0.4663028240419115,0.5801323755175017,54.54014623399263,54.54014623399263,53.13010235415598,OUT OF RANGE
13,-0.6924909544720428,-0.1208612703162774,0.7112305050487744,44.66487900771499,44.66487900771499,53.13010235415598,TRACKING
14,0.7454643114460974,0.5141278358070732,0.42421165567265,64.89922601427801,64.89922601427801,53.13010235415598,OUT OF RANGE
15,0.4780511104398219,0.3207508940486102,0.8176710828776267,35.14766481978732,35.14766481978732,53.13010235415598,TRACKING
16,0.5577563731791912,0.5210742088134591,0.6460568837861124,49.75503669136042,49.75503669136042,53.13010235415598,TRACKING
17,0.15786948985693114,0.748782363101643,0.6437407839186762,49.928670699153926,49.928670699153926,53.13010235415598,TRACKING
18,-0.6558031111329135,0.649011965535385,0.38562384265017596,67.31752536443301,67.31752536443301,53.13010235415598,OUT OF RANGE
19,0.7184534672083301,0.27123880378546805,0.6405108326776036,50.1700784405051,50.1700784405051,53.13010235415598,TRACKING
20,0.2086304828318143,-0.20439236932902452,0.9563979720772267,16.981722999598936,16.981722999598936,53.13010235415598,TRACKING
21,-0.5800424434646431,-0.5665539851209898,0.5852925300421079,54.17634139416374,54.17634139416374,53.13010235415598,OUT OF RANGE
22,-0.6497287312103036,-0.07507530181681718,0.7564497834601865,40.84778960372761,40.84778960372761,53.13010235415598,TRACKING
23,0.6214849076526661,0.5330112246982693,0.5741563758294496,54.95942593605706,54.95942593605706,53.13010235415598,OUT OF RANGE
24,0.635476092034404,0.49631473101285123,0.5914742802796441,53.73830245740954,53.73830245740954,53.13010235415598,OUT OF RANGE
25,-0.35105145492877265,0.41433585059192934,0.8396955870472671,32.89201168615665,32.89201168615665,53.13010235415598,TRACKING
26,0.2285105999918787,-0.9555550656336864,0.18627244088472347,79.2646724847609,79.2646724847609,53.13010235415598,OUT OF RANGE
27,-0.7781346890991544,-0.5124833761307536,0.36313522937080445,68.70713349238967,68.70713349238967,53.13010235415598,OUT OF RANGE
28,-0.49956350713835473,0.43491036501223557,0.7491924163661501,41.479529148235386,41.479529148235386,53.13010235415598,TRACKING
29,-0.15393913182002752,-0.06505921067035025,0.9859361251122951,9.620561793747619,9.620561793747619,53.13010235415598,TRACKING
30,-0.695969762109303,0.36211110633881505,0.620081959821119,51.677880139070844,51.677880139070844,53.13010235415598,TRACKING
31,0.7220848571330302,0.35199280334415156,0.5955623607088487,53.44726809174026,53.44726809174026,53.13010235415598,OUT OF RANGE
